Симптоми,Диагноза,Предотвратяване
"Сърцебиене, Отпадналост, Диария",Хепатит,"Добро обличане през зимата, Избягване на стрес"
"Замаяност, Треска, Високо кръвно налягане",Настинка,"Приемане на витамини, Добро обличане през зимата"
"Загуба на апетит, Болки в ставите, Болки в мускулите",Алергия,"Почивка и хидратация, Избягване на алергени"
"Хрема, Замаяност, Треска",Синдром на раздразнените черва,"Избягване на контакт със заразени лица, Избягване на прекомерна употреба на алкохол"
"Стомашни болки, Болки в мускулите, Затруднено преглъщане",Алергия,"Поддържане на нормално тегло, Здравословен сън"
"Диария, Замаяност, Затруднено преглъщане",Депресия,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Главоболие, Кожен обрив, Болка в гърлото",Псориазис,"Почивка и хидратация, Здравословна диета"
"Загуба на апетит, Задух, Треска",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Избягване на алергени"
"Болка в гърлото, Сърцебиене, Главоболие",Хранително отравяне,"Редовно проветряване на помещенията, Избягване на контакт със заразени лица"
"Отпадналост, Стомашни болки, Кашлица",Синдром на раздразнените черва,"Ваксинация, Избягване на контакт със заразени лица"
"Кашлица, Загуба на апетит, Отпадналост",Грип,"Избягване на тежка храна, Ваксинация"
"Диария, Кожен обрив, Задух",Сърдечна недостатъчност,"Приемане на витамини, Добро обличане през зимата"
"Болки в мускулите, Задух, Кашлица",Сърдечна недостатъчност,"Здравословна диета, Избягване на тежка храна"
"Затруднено преглъщане, Болки в ставите, Хрема",Гастрит,"Здравословен сън, Избягване на алергени"
"Главоболие, Сърцебиене, Загуба на апетит",Синдром на раздразнените черва,"Ваксинация, Приемане на витамини"
"Главоболие, Замаяност, Кожен обрив",Настинка,"Редовни прегледи при лекар, Избягване на тежка храна"
"Отпадналост, Повръщане, Хрема",Астма,"Редовно проветряване на помещенията, Спиране на тютюнопушенето"
"Повръщане, Настинка, Задух",Хипертония,"Спиране на тютюнопушенето, Редовно проветряване на помещенията"
"Настинка, Кашлица, Затруднено преглъщане",Мигрена,"Приемане на витамини, Ваксинация"
"Настинка, Замаяност, Диария",Астма,"Избягване на прекомерна физическа активност, Избягване на тежка храна"
"Болка в гърлото, Кашлица, Замаяност",Депресия,"Спиране на тютюнопушенето, Контрол на кръвната захар"
"Главоболие, Болки в мускулите, Болка в гърлото",Настинка,"Контрол на кръвната захар, Приемане на витамини"
"Настинка, Високо кръвно налягане, Затруднено преглъщане",Хипертония,"Избягване на алергени, Редовно проветряване на помещенията"
"Хрема, Кашлица, Болки в мускулите",Астма,"Избягване на прекомерна употреба на алкохол, Редовно проветряване на помещенията"
"Диария, Затруднено преглъщане, Отпадналост",Алергия,"Поддържане на нормално тегло, Приемане на витамини"
"Задух, Кашлица, Хрема",Депресия,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Високо кръвно налягане, Задух, Болки в ставите",Алергия,"Добро обличане през зимата, Избягване на прекомерна физическа активност"
"Затруднено преглъщане, Замаяност, Болки в ставите",Хипертония,"Избягване на алергени, Здравословна диета"
"Сърцебиене, Отпадналост, Болки в мускулите",Депресия,"Избягване на контакт със заразени лица, Приемане на лекарства по предписание"
"Отпадналост, Затруднено преглъщане, Треска",Синдром на раздразнените черва,"Редовни физически упражнения, Избягване на тежка храна"
"Главоболие, Болки в мускулите, Кожен обрив",Диабет,"Ваксинация, Приемане на лекарства по предписание"
"Повръщане, Високо кръвно налягане, Задух",Анемия,"Избягване на тежка храна, Добро обличане през зимата"
"Затруднено преглъщане, Треска, Безсъние",Псориазис,"Избягване на тежка храна, Често миене на ръце"
"Високо кръвно налягане, Отпадналост, Повръщане",Настинка,"Контрол на кръвната захар, Здравословна диета"
"Хрема, Кашлица, Диария",Псориазис,"Избягване на алергени, Добро обличане през зимата"
"Загуба на апетит, Задух, Повръщане",Сърдечна недостатъчност,"Избягване на стрес, Редовно проветряване на помещенията"
"Треска, Кашлица, Болки в мускулите",Артрит,"Ваксинация, Здравословен сън"
"Отпадналост, Кожен обрив, Загуба на апетит",Менингит,"Здравословен сън, Приемане на лекарства по предписание"
"Настинка, Затруднено преглъщане, Главоболие",Пневмония,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Кашлица, Болка в гърлото, Повръщане",Менингит,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Замаяност, Диария, Загуба на апетит",Синдром на раздразнените черва,"Избягване на стрес, Приемане на витамини"
"Повръщане, Кожен обрив, Стомашни болки",Инфаркт,"Редовно проветряване на помещенията, Избягване на прекомерна физическа активност"
"Замаяност, Безсъние, Повръщане",Хранително отравяне,"Приемане на лекарства по предписание, Редовни прегледи при лекар"
"Задух, Главоболие, Болки в ставите",Гастрит,"Спиране на тютюнопушенето, Избягване на алергени"
"Главоболие, Диария, Треска",Алергия,"Приемане на витамини, Ваксинация"
"Затруднено преглъщане, Болки в ставите, Треска",Алергия,"Здравословна диета, Избягване на стрес"
"Кашлица, Отпадналост, Кожен обрив",Грип,"Добро обличане през зимата, Избягване на тежка храна"
"Кашлица, Сърцебиене, Болки в мускулите",Грип,"Здравословен сън, Редовни прегледи при лекар"
"Замаяност, Кашлица, Сърцебиене",Артрит,"Здравословна диета, Редовно проветряване на помещенията"
"Главоболие, Настинка, Отпадналост",Синдром на раздразнените черва,"Почивка и хидратация, Здравословен сън"
"Болка в гърлото, Кожен обрив, Безсъние",Хипертония,"Приемане на витамини, Здравословен сън"
"Загуба на апетит, Кашлица, Настинка",Депресия,"Редовни прегледи при лекар, Често миене на ръце"
"Треска, Отпадналост, Стомашни болки",Анемия,"Избягване на алергени, Редовно проветряване на помещенията"
"Задух, Безсъние, Треска",Грип,"Приемане на лекарства по предписание, Ваксинация"
"Повръщане, Главоболие, Високо кръвно налягане",Хепатит,"Избягване на прекомерна употреба на алкохол, Редовни прегледи при лекар"
"Повръщане, Хрема, Отпадналост",Депресия,"Почивка и хидратация, Избягване на прекомерна употреба на алкохол"
"Болка в гърлото, Стомашни болки, Задух",Мигрена,"Приемане на лекарства по предписание, Ваксинация"
"Болки в ставите, Безсъние, Сърцебиене",Хепатит,"Често миене на ръце, Редовно проветряване на помещенията"
"Повръщане, Сърцебиене, Безсъние",Диабет,"Приемане на лекарства по предписание, Редовно проветряване на помещенията"
"Хрема, Болка в гърлото, Замаяност",Инфаркт,"Ваксинация, Добро обличане през зимата"
"Безсъние, Стомашни болки, Загуба на апетит",Астма,"Добро обличане през зимата, Редовни прегледи при лекар"
"Замаяност, Диария, Болки в ставите",Алергия,"Избягване на контакт със заразени лица, Ваксинация"
"Кожен обрив, Настинка, Стомашни болки",Депресия,"Избягване на прекомерна употреба на алкохол, Избягване на прекомерна физическа активност"
"Хрема, Кожен обрив, Сърцебиене",Грип,"Често миене на ръце, Избягване на алергени"
"Кашлица, Кожен обрив, Треска",Диабет,"Здравословна диета, Избягване на контакт със заразени лица"
"Болка в гърлото, Болки в мускулите, Повръщане",Псориазис,"Редовни физически упражнения, Почивка и хидратация"
"Хрема, Замаяност, Треска",Артрит,"Здравословен сън, Избягване на стрес"
"Болки в мускулите, Главоболие, Замаяност",Астма,"Приемане на витамини, Често миене на ръце"
"Стомашни болки, Задух, Кожен обрив",Анемия,"Почивка и хидратация, Редовни прегледи при лекар"
"Настинка, Повръщане, Задух",Бронхит,"Здравословна диета, Често миене на ръце"
"Кашлица, Болки в ставите, Треска",Мигрена,"Здравословна диета, Избягване на алергени"
"Хрема, Високо кръвно налягане, Замаяност",Инфаркт,"Поддържане на нормално тегло, Избягване на прекомерна физическа активност"
"Безсъние, Отпадналост, Треска",Менингит,"Редовно проветряване на помещенията, Редовни физически упражнения"
"Кожен обрив, Загуба на апетит, Сърцебиене",Астма,"Ваксинация, Контрол на кръвната захар"
"Стомашни болки, Болки в ставите, Загуба на апетит",Алергия,"Здравословна диета, Добро обличане през зимата"
"Високо кръвно налягане, Безсъние, Отпадналост",Менингит,"Избягване на тежка храна, Почивка и хидратация"
"Кашлица, Повръщане, Треска",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Избягване на алергени"
"Болки в ставите, Кожен обрив, Диария",Инфаркт,"Избягване на прекомерна употреба на алкохол, Избягване на тежка храна"
"Болки в мускулите, Отпадналост, Сърцебиене",Гастрит,"Почивка и хидратация, Редовни прегледи при лекар"
"Главоболие, Високо кръвно налягане, Диария",Настинка,"Почивка и хидратация, Здравословен сън"
"Диария, Болки в ставите, Замаяност",Грип,"Ваксинация, Често миене на ръце"
"Задух, Загуба на апетит, Болка в гърлото",Менингит,"Здравословна диета, Избягване на контакт със заразени лица"
"Кашлица, Настинка, Затруднено преглъщане",Хранително отравяне,"Често миене на ръце, Избягване на стрес"
"Болки в ставите, Високо кръвно налягане, Болки в мускулите",Грип,"Редовно проветряване на помещенията, Редовни прегледи при лекар"
"Болки в мускулите, Главоболие, Болки в ставите",Хепатит,"Здравословен сън, Избягване на контакт със заразени лица"
"Болка в гърлото, Затруднено преглъщане, Сърцебиене",Пневмония,"Приемане на витамини, Добро обличане през зимата"
"Хрема, Треска, Сърцебиене",Анемия,"Здравословен сън, Избягване на стрес"
"Кашлица, Главоболие, Замаяност",Астма,"Спиране на тютюнопушенето, Приемане на витамини"
"Стомашни болки, Отпадналост, Сърцебиене",Алергия,"Приемане на витамини, Често миене на ръце"
"Стомашни болки, Затруднено преглъщане, Главоболие",Диабет,"Приемане на лекарства по предписание, Избягване на тежка храна"
"Болка в гърлото, Стомашни болки, Отпадналост",Хипертония,"Спиране на тютюнопушенето, Контрол на кръвната захар"
"Отпадналост, Треска, Стомашни болки",Хранително отравяне,"Поддържане на нормално тегло, Приемане на лекарства по предписание"
"Загуба на апетит, Високо кръвно налягане, Повръщане",Синдром на раздразнените черва,"Контрол на кръвната захар, Ваксинация"
"Диария, Кашлица, Стомашни болки",Диабет,"Избягване на тежка храна, Избягване на контакт със заразени лица"
"Безсъние, Затруднено преглъщане, Главоболие",Артрит,"Избягване на прекомерна физическа активност, Избягване на стрес"
"Диария, Болки в мускулите, Стомашни болки",Мигрена,"Приемане на лекарства по предписание, Редовни прегледи при лекар"
"Болки в мускулите, Високо кръвно налягане, Сърцебиене",Инфаркт,"Редовно проветряване на помещенията, Избягване на контакт със заразени лица"
"Болки в мускулите, Загуба на апетит, Безсъние",Псориазис,"Поддържане на нормално тегло, Спиране на тютюнопушенето"
"Стомашни болки, Кожен обрив, Сърцебиене",Астма,"Приемане на витамини, Почивка и хидратация"
"Високо кръвно налягане, Болки в мускулите, Затруднено преглъщане",Пневмония,"Избягване на алергени, Избягване на контакт със заразени лица"
"Треска, Болка в гърлото, Повръщане",Менингит,"Избягване на контакт със заразени лица, Приемане на лекарства по предписание"
"Кожен обрив, Сърцебиене, Настинка",Астма,"Редовно проветряване на помещенията, Контрол на кръвната захар"
"Замаяност, Болка в гърлото, Загуба на апетит",Астма,"Спиране на тютюнопушенето, Поддържане на нормално тегло"
"Болки в ставите, Стомашни болки, Болки в мускулите",Псориазис,"Приемане на лекарства по предписание, Редовни прегледи при лекар"
"Кашлица, Загуба на апетит, Главоболие",Грип,"Редовни физически упражнения, Редовни прегледи при лекар"
"Замаяност, Кожен обрив, Кашлица",Депресия,"Приемане на лекарства по предписание, Избягване на алергени"
"Болка в гърлото, Затруднено преглъщане, Задух",Синдром на раздразнените черва,"Редовни прегледи при лекар, Ваксинация"
"Загуба на апетит, Замаяност, Болки в ставите",Астма,"Избягване на алергени, Избягване на стрес"
"Треска, Диария, Настинка",Синдром на раздразнените черва,"Поддържане на нормално тегло, Избягване на алергени"
"Стомашни болки, Високо кръвно налягане, Диария",Артрит,"Ваксинация, Контрол на кръвната захар"
"Безсъние, Настинка, Кашлица",Бронхит,"Спиране на тютюнопушенето, Често миене на ръце"
"Стомашни болки, Кожен обрив, Повръщане",Астма,"Избягване на стрес, Приемане на лекарства по предписание"
"Настинка, Диария, Кашлица",Бронхит,"Избягване на алергени, Избягване на тежка храна"
"Повръщане, Кожен обрив, Кашлица",Мигрена,"Редовни прегледи при лекар, Редовно проветряване на помещенията"
"Кашлица, Болки в мускулите, Повръщане",Хранително отравяне,"Контрол на кръвната захар, Редовно проветряване на помещенията"
"Отпадналост, Загуба на апетит, Високо кръвно налягане",Сърдечна недостатъчност,"Приемане на витамини, Редовни прегледи при лекар"
"Хрема, Безсъние, Болки в мускулите",Астма,"Избягване на тежка храна, Редовни прегледи при лекар"
"Стомашни болки, Кожен обрив, Настинка",Синдром на раздразнените черва,"Спиране на тютюнопушенето, Контрол на кръвната захар"
"Високо кръвно налягане, Кашлица, Безсъние",Гастрит,"Редовни прегледи при лекар, Добро обличане през зимата"
"Болки в мускулите, Болки в ставите, Настинка",Синдром на раздразнените черва,"Редовно проветряване на помещенията, Избягване на стрес"
"Безсъние, Хрема, Кашлица",Хепатит,"Избягване на алергени, Избягване на прекомерна употреба на алкохол"
"Замаяност, Сърцебиене, Високо кръвно налягане",Депресия,"Ваксинация, Приемане на лекарства по предписание"
"Болки в ставите, Диария, Повръщане",Бронхит,"Често миене на ръце, Добро обличане през зимата"
"Болки в мускулите, Безсъние, Болка в гърлото",Псориазис,"Редовни физически упражнения, Редовно проветряване на помещенията"
